grandparent,parent,child,grandchild
agriculture,,,
agriculture,agritourism ,,
agriculture,agritourism ,farm experience premises,
agriculture,agritourism ,farm gate premises,
agriculture,agritourism ,farm gate premises,cellar door premises
agriculture,aquaculture,,
agriculture,aquaculture,Oyster aquaculture,
agriculture,aquaculture,Pond-based aquaculture,
agriculture,aquaculture,Tank-based aquaculture,
agriculture,extensive agriculture,,
agriculture,extensive agriculture,bee keeping,
agriculture,extensive agriculture,dairy (pasture-based),
agriculture,intensive livestock agriculture,,
agriculture,intensive livestock agriculture,feedlots,
agriculture,intensive livestock agriculture,dairies (restricted),
agriculture,intensive livestock agriculture,pig farm,
agriculture,intensive livestock agriculture,poultry farm,
agriculture,intensive plant agriculture,,
agriculture,intensive plant agriculture,horticulture,
agriculture,intensive plant agriculture,turf farming,
agriculture,intensive plant agriculture,viticulture,
agriculture,,,
animal boarding or training establishments,,,
farm buildings,,,
forestry,,,
residential accommodation,,,
residential accommodation,attached dwellings,,
residential accommodation,boarding houses,,
residential accommodation,co-living housing,,
residential accommodation,dual occupancies,,
residential accommodation,dual occupancies,dual occupancies (attached),
residential accommodation,dual occupancies,dual occupancies (detached),
residential accommodation,dwelling houses,,
residential accommodation,group homes,,
residential accommodation,group homes,group homes (permanent),
residential accommodation,group homes,group homes (transitional),
residential accommodation,hostels,,
residential accommodation,multi dwelling housing,,
residential accommodation,residential flat buildings,,
residential accommodation,rural worker's dwellings,,
residential accommodation,secondary dwellings,,
residential accommodation,semi-detached dwellings ,,
residential accommodation,seniors housing,,
residential accommodation,seniors housing,independent living units,
residential accommodation,seniors housing,residential care facilities,
residential accommodation,shop top housing,,
home business,,,
home occupations,,,
home occupation (sex services),,,
tourist and visitor accommodation,,,
tourist and visitor accommodation,backpackers' accommodation,,
tourist and visitor accommodation,bed and breakfast accommodation,,
tourist and visitor accommodation,farm stay accommodation,,
tourist and visitor accommodation,hotel or motel accommodation,,
tourist and visitor accommodation,serviced apartments,,
camping grounds,,,
camping grounds,primitive camping grounds,,
caravan parks,,,
eco-tourist facilities,,,
business premises,,,
business premises,funeral homes,,
business premises,goods repair and reuse premises,,
office premises,,,
retail premises,,,
retail premises,food and drink premises,,
retail premises,food and drink premises,pubs,
retail premises,food and drink premises,restaurants or cafes,
retail premises,food and drink premises,take away food and drink premises,
retail premises,food and drink premises,small bars,
retail premises,garden centres,,
retail premises,hardware and building supplies,,
retail premises,kiosks,,
retail premises,landscaping material supplies,,
retail premises,markets,,
retail premises,plant nurseries,,
retail premises,roadside stalls,,
retail premises,rural supplies,,
retail premises,shops,,
retail premises,shops,neighbourhood shops,
retail premises,shops,neighbourhood supermarkets,
retail premises,specialised retail premises,,
retail premises,timber yards,,
retail premises,vehicle sales or hire premises,,
amusement centres,,,
entertainment facilities,,,
function centres,,,
highway service centres,,,
industrial retail outlets,,,
registered clubs,,,
restricted premises,,,
service stations,,,
sex services premises,,,
veterinary hospitals,,,
wholesale supplies,,,
rural industries,,,
rural industries,agricultural produce industries,,
rural industries,livestock processing industries,,
rural industries,sawmill or log processing industries,,
rural industries,stock and sale yards,,
industries,,,
industries,heavy industries,,
industries,heavy industries,hazardous industries,
industries,heavy industries,offensive industries,
industries,light industries,,
industries,light industries,artisan food and drink industries,
industries,light industries,creative industries ,
industries,light industries,high technology industries,
industries,light industries,high technology industries,data centres 
industries,light industries,home industries,
industries,general industries,,
boat building and repair facilities,,,
vehicle body repair workshops,,,
vehicle repair stations,,,
heavy industrial storage establishments,,,
heavy industrial storage establishments,hazardous storage establishments,,
heavy industrial storage establishments,liquid fuel depots,,
heavy industrial storage establishments,offensive storage establishments,,
storage premises,,,
storage premises,self storage units,,
depots,,,
warehouse or distribution centres,,,
local distribution premises,,,
sewerage systems,,,
sewerage systems,biosolids treatment facilities,,
sewerage systems,sewage reticulation systems,,
sewerage systems,sewage treatment plants,,
sewerage systems,water recycling facilities,,
waste or resource management facilities,,,
waste or resource management facilities,resource recovery facilities,,
waste or resource management facilities,waste disposal facilities,,
waste or resource management facilities,waste or resource transfer stations ,,
water supply systems,,,
water supply systems,water reticulation systems,,
water supply systems,water storage facilities,,
water supply systems,water treatment facilities,,
air transport facilities ,,,
air transport facilities ,airports,,
air transport facilities ,heliports,,
airstrip,,,
helipad,,,
car parks,,,
electricity generating works,,,
freight transport facilities,,,
passenger transport facilities,,,
port facilities,,,
roads,,,
transport depots,,,
truck depots,,,
wharf or boating facilities,,,
educational establishments,,,
educational establishments,schools,,
health services facilities,,,
health services facilities,hospitals,,
health services facilities,medical centres,,
health services facilities,health consulting rooms,,
early education and care facilities,,,
early education and care facilities,centre-based child care facilities,,
early education and care facilities,home-based child care,,
early education and care facilities,school-based child care,,
community facilities,,,
correctional centres,,,
emergency services facilities,,,
industrial training facilities,,,
information and education facilities,,,
places of public worship,,,
public administration building,,,
research stations,,,
respite day care centres,,,
signage,,,
signage,advertising structures,,
signage,building identification signs,,
signage,business identification signs,,
boat launching ramps,,,
boat sheds,,,
charter and tourism boating facilities,,,
environmental facilities,,,
jetties,,,
marinas,,,
mooring,,,
mooring pens,,,
recreation areas,,,
recreation facilities (indoor),,,
recreation facilities (major),,,
recreation facilities (outdoor),,,
water recreation structures,,,
cemeteries,,,
crematoria,,,
environmental protection works,,,
exhibition homes,,,
exhibition villages,,,
extractive industries,,,
flood mitigation works,,,
mortuaries,,,
open cut mining,,,
