SYM_CODE,FSR - n:1,HOB - m,LSZ - m2/ha,RGB Code,HEX Code
A,0 - 0.39,0 - 3.6,0 - 199,201:255:249,C9FFF9
B,0.4 - 0.44,3.7 - 4.9,200 - 249,153:255:253,99FFFD
C,0.45 - 0.49,5 - 5.4,250 - 299,102:242:255,66F2FF
D,0.5 - 0.54,5.5 - 5.9,300 - 349,51:218:255,33DAFF
E,0.55 - 0.59,6 - 6.4,350 - 399,211:255:191,D3FFBF
F,0.6 - 0.64,6.5 - 6.9,400 - 449,195:240:170,C3F0AA
G,0.65 - 0.69,7 - 7.4,450 - 474,179:224:150,B3E096
H,0.7 - 0.74,7.5 - 7.9,475 - 499,163:209:130,A3D182
I,0.75 - 0.79,8 - 8.9,500 - 524,149:194:112,95C270
J,0.8 - 0.84,9 - 9.9,525 - 549,137:181:96,89B560
K,0.85 - 0.89,10 - 10.9,550 - 574,255:255:191,FFFFBF
L,0.9 - 0.94,11 - 11.9,575 - 599,255:255:0,FFFF00
M,0.95 - 0.99,12 - 12.9,600 - 624,219:219:0,DBDB00
N,1 - 1.09,13 - 14.9,625 - 649,237:216:173,EDD8AD
O,1.1 - 1.19,15 - 16.9,650 - 674,227:200:145,E3C891
P,1.2 - 1.29,17 - 18.9,675 - 699,219:187:123,DBBB7B
Q,1.3 - 1.39,19 - 20.9,700 - 749,209:172:98,D1AC62
R,1.4 - 1.49,21 - 22.9,750 - 799,199:158:76,C79E4C
S,1.5 - 1.99,23 - 24.9,800 - 899,255:217:217,FFD9D9
T,2 - 2.49,25 - 29.9,900 - 999,255:166:163,FFA6A3
U,2.5 - 2.99,30 - 34.9,1000 - 1999,255:119:110,FF776E
V,3 - 3.49,35 - 39.9,2000 - 2999,255:72:59,FF483B
W,3.5 - 3.99,40 - 44.9,3000 - 4999,204:102:102,CC6666
X,4 - 4.49,45 - 49.9,5000 - 9999,233:191:255,E9BFFF
Y,4.5 - 4.99,50 - 54.9,10000 - 19999,212:137:250,D489FA
Z,5 - 5.99,55 - 59.9,20000 - 49999,190:81:240,BE51F0
AA,6 - 6.99,60 - 79.9,50000 - 99999,255:115:222,FF73DE
AB,7 - 7.99,80 - 99.9,10ha – 49.9ha,204:102:153,CC6699
AC,8 - 8.99,100 - 124.9,50ha – 99.9ha,186:84:135,BA5487
AD,9 - 9.99,125 - 149.9,100ha – 199.9ha,255:235:173,FFEBAD
AE,10 - 10.99,150 - 174.9,200ha – 399.9ha,255:214:143,FFD68F
AF,11 - 11.99,175 - 199.9,400ha – 599.9ha,255:199:0,FFC700
AG,12 - 12.99,200 - 224.9,600ha – 799.9ha,255:170:0,FFAA00
AH,13 - 13.99,225 - 249.9,800ha – 999.9ha,230:152:0,E69800
AI,14+,250+,1000ha+,255:140:0,FF8C00
CA,Complex Development Standards Area,,,,
SYM_CODE,,HOB - m,,,
RL1,,0 - 20,,225:225:225,E1E1E1
RL2,,20 - 40,,204:204:204,CCCCCC
RL3,,40 - 60,,178:178:178,B2B2B2
RL4,,60 - 80,,130:130:130,828282
RL5,,80 - 100,,78:78:78,4E4E4E
RL6,,>100,,0:00:00,0
